C28992R100;score
E1195N4825;-1,89
E1196N4825;-2,11
E1197N4825;-2,41
E1198N4825;-0,52
E1199N4825;-0,93
E1200N4825;-1,17
E1201N4825;-8,55
E1202N4825;-15,35
E1203N4825;-16,76
E1204N4825;-9,01
E1205N4825;-2,22
E1209N4825;-1,57
E1210N4825;-3,38
E1211N4825;-3,51
E1212N4825;-3,76
E1213N4825;-2,60
E1214N4825;-1,60
E1215N4825;-1,12
E1216N4825;-0,48
E1187N4826;-0,29
E1188N4826;-0,66
E1189N4826;-0,66
E1190N4826;-0,66
E1191N4826;-0,29
E1194N4826;-1,89
E1195N4826;-4,41
E1196N4826;-4,64
E1197N4826;-4,94
E1198N4826;-2,64
E1199N4826;-3,00
E1200N4826;-11,54
E1201N4826;-28,07
E1202N4826;-35,70
E1203N4826;-35,88
E1204N4826;-25,56
E1205N4826;-9,38
E1206N4826;-1,26
