ZAAKNAAM;ACTIVENQ;XCOORD;YCOORD;WERKOPP;MAARTJE;score;scorem2;
Croissanterie L'amour;56102;121504;487940;94;Bakery;1,2;2,0;
LEEF;47241;120846;488298;95;Bakery;1,2;2,0;
Patiserie Atlas;47241;120077;489303;96;Bakery;1,2;2,0;
Kees Gutter B.V.;47241;124850;489391;98;Bakery;1,2;2,0;
Banketbakkerij-Chocolaterie Roetman;47241;114818;486158;100;Bakery;1,2;2,0;
De Bakkerswinkel Meenemen;4711;121561;487446;104;Bakery;1,2;2,0;
Koeckebackers B.V.;47241;118720;486982;108;Bakery;1,2;2,0;
De Lekkere Dingen Bakker;47241;126118;479214;115;Bakery;1,2;2,0;
Vinny's Bakery V.O.F.;47241;127961;485704;116;Bakery;1,2;2,0;
RSFS B.V.;47241;121478;487995;121;Bakery;1,2;2,0;
Sara's Pancake House;56101;120853;487425;123;Bakery;1,2;2,0;
Holy Cheese B.V.;47241;121569;487196;125;Bakery;1,2;2,0;
Bakkerij Windhouwer B.V.;47241;123007;491207;132;Bakery;1,2;2,0;
Broodhuis Meijer;47241;120081;482106;132;Bakery;1,2;2,0;
Sarikaya;47241;123771;486230;137;Bakery;1,2;2,0;
Kwekkeboom Patisserie B.V.;47241;123663;485509;138;Bakery;1,2;2,0;
Brood- en Banketbakkerij Afrah Fes;47241;116518;488155;142;Bakery;1,2;2,0;
Erol Specialiteitenbakkerij;47241;120411;489192;145;Bakery;1,2;2,0;
Hartog's Volkorenbakkerij B.V.;47241;122544;485620;147;Bakery;1,2;2,0;
V.O.F. Banketbakkerij Schouten;47241;116821;486319;167;Bakery;1,2;2,0;
Bakkerij Westerpark Amsterdam B.V.;47241;120147;488589;220;Bakery;1,2;2,0;
Bakkerij Westerpark;47241;120147;488589;220;Bakery;1,2;2,0;
Vlaai Company t.h.o.d.n. Multi-Vlaai;47241;123718;485444;247;Bakery;1,2;2,0;
Boulangerie Nador 'Bos en Lommer' B.V.;47241;118382;487970;255;Bakery;1,2;2,0;
De Lekkere Dingen Bakker;47241;118557;485075;1060;Bakery;1,2;2,0;
Marcus Slagerij;47221;117098;489381;0;Butcher;-0,4;0,5;
Firma Gebroeders Krijnen;47221;123659;486304;0;Butcher;-0,4;0,5;
Slagerij Aile;47221;118223;487814;0;Butcher;-0,4;0,5;
Slagerij Idsinga Waterlandplein B.V.;47221;116467;485424;0;Butcher;-0,4;0,5;
Islamitische Slagerij Konet;47221;115346;488083;0;Butcher;-0,4;0,5;
Onze Boer;47221;118976;486087;0;Butcher;-0,4;0,5;
Slagerij Bartels-Rost;47221;124535;486452;0;Butcher;-0,4;0,5;
Slagerij Peter & Zoon;47221;122156;484298;0;Butcher;-0,4;0,5;
Slagerij 'Kaddour';47221;115129;485767;0;Butcher;-0,4;0,5;
Basirco Vlees;47221;124102;486279;0;Butcher;-0,4;0,5;
Slagerij Westerpark Halal;47221;120414;489189;19;Butcher;-0,4;0,5;
Osdorper Slagerij;47221;115370;485846;20;Butcher;-0,4;0,5;
